2013;ÉDUCATEURS DE JEUNES ENFANTS;Age >=55 ans et < 60 ans;113;2
2014;SECRÉTAIRES ADMINISTRATIFS;Age >=25 ans et < 30 ans;28;14
2015;AGENTS D'ACCUEIL ET DE SURVEILLANCE;Age >=55 ans et < 60 ans;74;124
2016;AGENTS DE LOGISTIQUE GÉNÉRALE;Age >=45 ans et < 50 ans;50;74
2016;AGENTS TECHNIQUES DES ÉCOLES;Age >=60 ans et < 65 ans;307;28
2016;SECRÉTAIRES ADMINISTRATIFS;Age >=60 ans et < 65 ans;163;71
2017;AGENTS D'ACCUEIL ET DE SURVEILLANCE;Age >= 65 ans;4;8
2018;AUXILIAIRES DE PUÉRICULTURE ET DE SOINS;Age >=45 ans et < 50 ans;621;2
2013;ÉBOUEURS;Age >=55 ans et < 60 ans;2;522
2017;ATTACHÉS D'ADMINISTRATIONS PARISIENNES;Age >=25 ans et < 30 ans;27;25
2016;ÉDUCATEURS DE JEUNES ENFANTS;Age >=40 ans et < 45 ans;151;5
2015;AGENTS TECHNIQUES DES ÉCOLES;Age >=50 ans et < 55 ans;540;43
2017;AGENTS SPÉCIALISÉS DES ÉCOLES MATERNELLES;Age >=45 ans et < 50 ans;397;3
2017;AGENTS TECHNIQUES DE LA PETITE ENFANCE;Age >=25 ans et < 30 ans;123;4
2014;PERSONNELS DE MAITRISE;Age >=60 ans et < 65 ans;1;80
2015;ASSISTANTS SOCIO-ÉDUCATIFS;Age >=50 ans et < 55 ans;117;16
2017;AGENTS SPÉCIALISÉS DES ÉCOLES MATERNELLES;Age >= 65 ans;7;0
2018;AGENT DE SURVEILLANCE DE PARIS;Age >=35 ans et < 40 ans;49;29
2013;ADJOINTS D'ANIMATION ET D'ACTION SPORTIVE;Age >=60 ans et < 65 ans;113;31
2013;ADJOINTS TECHNIQUES;Age >=35 ans et < 40 ans;45;498
2013;SECRÉTAIRES ADMINISTRATIFS;Age >=30 ans et < 35 ans;79;59
2013;PERSONNELS DE MAITRISE;Age >=40 ans et < 45 ans;23;189
2018;INSPECTEURS DU SERVICE DE SECURITE;Age >=30 ans et < 35 ans;12;53
2014;ADJOINTS TECHNIQUES;Age < 20 ans;0;1
2018;SECRÉTAIRES ADMINISTRATIFS D'ADMINISTRATIONS PARISIENNES;Age >=25 ans et < 30 ans;15;8
2016;ADJOINTS TECHNIQUES;Age >=30 ans et < 35 ans;53;446
2013;ADJOINTS D'ANIMATION ET D'ACTION SPORTIVE;Age >=45 ans et < 50 ans;293;96
2013;ADJOINTS ADMINISTRATIFS D'ADMINISTRATIONS PARISIENNES;Age >=40 ans et < 45 ans;458;147
2017;AGENTS DE LOGISTIQUE GÉNÉRALE D'ADMINISTRATIONS PARISIENNES;Age >=45 ans et < 50 ans;55;66
2018;ATTACHÉS D'ADMINISTRATIONS PARISIENNES;Age >=50 ans et < 55 ans;93;80
2018;AGENTS TECHNIQUES DE LA PETITE ENFANCE;Age >=40 ans et < 45 ans;210;15
2014;ADJOINTS ADMINISTRATIFS D'ADMINISTRATIONS PARISIENNES;Age >=45 ans et < 50 ans;567;151
2013;AUXILIAIRES DE PUÉRICULTURE ET DE SOINS;Age >=25 ans et < 30 ans;790;9
2017;PERSONNELS DE MAITRISE;Age >=25 ans et < 30 ans;1;15
2013;ATTACHÉS D'ADMINISTRATIONS PARISIENNES;Age >=50 ans et < 55 ans;101;68
2017;TECHNICIENS SUPÉRIEURS;Age >=50 ans et < 55 ans;39;125
2013;ADJOINTS ADMINISTRATIFS D'ADMINISTRATIONS PARISIENNES;Age >=60 ans et < 65 ans;200;50
2013;PERSONNELS DE MAITRISE;Age >=50 ans et < 55 ans;10;230
2014;ADJOINTS D'ANIMATION ET D'ACTION SPORTIVE;Age >=30 ans et < 35 ans;237;150
2017;PERSONNELS DE MAITRISE;Age >=35 ans et < 40 ans;17;82
2017;ATTACHÉS D'ADMINISTRATIONS PARISIENNES;Age >=50 ans et < 55 ans;93;74
2018;AGENTS SPÉCIALISÉS DES ÉCOLES MATERNELLES;Age >= 20 ans et < 25 ans;23;
2013;ATTACHÉS D'ADMINISTRATIONS PARISIENNES;Age >=55 ans et < 60 ans;94;60
2015;AGENTS D'ACCUEIL ET DE SURVEILLANCE;Age >=30 ans et < 35 ans;18;48
2018;ADJOINTS ADMINISTRATIFS;Age >=50 ans et < 55 ans;681;166
2014;AUXILIAIRES DE PUÉRICULTURE ET DE SOINS;Age >=35 ans et < 40 ans;511;5
2016;AUXILIAIRES DE PUÉRICULTURE ET DE SOINS;Age >=30 ans et < 35 ans;713;4
2013;AGENTS TECHNIQUES DES ÉCOLES;Age >= 65 ans;16;2
2015;ASSISTANTS SOCIO-ÉDUCATIFS;Age >=45 ans et < 50 ans;80;17
2017;ADJOINTS TECHNIQUES D'ADMINISTRATIONS PARISIENNES;Age >=30 ans et < 35 ans;65;424
2017;AGENTS D'ACCUEIL ET DE SURVEILLANCE;Age >=50 ans et < 55 ans;44;135
2017;SECRÉTAIRES ADMINISTRATIFS;Age >= 65 ans;3;9
2018;SECRÉTAIRES ADMINISTRATIFS D'ADMINISTRATIONS PARISIENNES;Age >=30 ans et < 35 ans;33;14
2013;AGENTS TECHNIQUES DES ÉCOLES;Age >=55 ans et < 60 ans;489;32
2013;AUXILIAIRES DE PUÉRICULTURE ET DE SOINS;Age >=30 ans et < 35 ans;586;9
2014;ASSISTANTS SOCIO-ÉDUCATIFS;Age >=50 ans et < 55 ans;108;15
2016;AGENTS D'ACCUEIL ET DE SURVEILLANCE;Age >=60 ans et < 65 ans;34;69
2016;ÉBOUEURS;Age >=40 ans et < 45 ans;56;738
2019;ADJOINT D'ANIMATION CONTRACTUEL;Age >= 20 ans et < 25 ans;7;9
2019;AGENTS TECHNIQUES DES ECOLES;Age >=25 ans et < 30 ans;44;11
2019;AGENT DE SURVEILLANCE DE PARIS;Age >=25 ans et < 30 ans;2;1
2019;AUXILIAIRES DE PUERICULTURE ET DE SOINS;Age >=55 ans et < 60 ans;445;0
2019;ATTACHES D'ADMINISTRATIONS PARISIENNES;Age >=55 ans et < 60 ans;155;71
2019;ADJOINT D'ANIMATION CONTRACTUEL;Age >=55 ans et < 60 ans;135;22
2019;SECRETAIRES ADMINISTRATIFS ADMIST.PARIS.;Plus de 65 ans;14;16
2020;AGENTS SPECIALISE DES ECOLES MATERNELLES;Age < 20 ans;2;0
2020;AGENTS TECHNIQUES DE LA PETITE ENFANCE;Age >=25 ans et < 30 ans;99;7
2020;EBOUEURS;Age >=30 ans et < 35 ans;32;522
